セルマホ,cmavo,種類,タグ,機能語,キーワード,原文,rafsi,rafsi2,語法,文法,使用例,語源,ロジバンたんのメモ,覚え方
不明,cu'au,非標準,,universial famyma'o: terminates the most recently opened construct or clause.,,universial famyma'o: terminates the most recently opened construct or clause.,,,"cu'au looks back for the most recently opened construct that has not been terminated, and emulates whatever {famyma'o} would terminate it. It can also be subscripted with {xi}, and will terminate that many times. Note that that means grammatical function is being put in a {xi} clause, so be careful when using it. Additionally, cu'au {xi} {ro} will terminate all the way up to the last sentence-starting word (.i mi klama lo zarci pe lo pendo be mi cu'au xi ro -> .i mi klama lo zarci pe lo pendo be mi cu'au-be'o-ku-ge'u-ku-vau). This will also terminate to sentences started in {lu} (will NOT emulate li'u UNLESS used multiple times), {ni'o}, and {no'i}. It will NOT emulate {le'u}. In addition to {ro}, it can be subscripted with {da'a}, which terminates to the sentence level, minus 1. In the previous example, this would just leave the {vau} remaining, and allow you to continue to add to the place structure of {klama}.",,,,,
不明,fai'e'ai,非標準,,digit/number: the second Feigenbaum constant α = 2.502907875095892822283902873218...,,digit/number: the second Feigenbaum constant α = 2.502907875095892822283902873218...,,,See also: {fai'e'au},,,,,
不明,fau'e,非標準,,"iterated function left-composition with self: f∘f∘...∘f, n times.",,"iterated function left-composition with self: f∘f∘...∘f, n times.",,,"First argument must be a function(al) or some object f that can be left-composed with itself; second argument is a real number (usually nonnegative integer) n for which n compositions of f makes sense; the result is f left-composed with itself n times. This word is a shortcut for longer expressions. See also: {fa'ai}, {se'au}, {te'a}, {fe'a}.",,,,,
不明,fauroda,複合cmavo,,"any way, under any events",,"any way, under any events",,,,,,,,
不明,ji'o'e,非標準,,connective: elliptical/generic/vague,,connective: elliptical/generic/vague,,,"Like {zo'e} or {co'e}, but for connectives. The connectives referred to may be logical or non-logical; they take the form proper for the syntax/context (probably is best implemented using post-original CLL connective system modification such as the MAD proposal or the system developed by selpa'i); in standard original CLL usage, this would be the inter-tanru after-thought connective. Synonymous with but morphologically and phonotactically allowed version of .{y'i}.",,,,,
不明,ka bu,字詞,,the last sumti having a {ka}-abstraction at its topmost level inside,,the last sumti having a {ka}-abstraction at its topmost level inside,,,"See also {nu bu}, {ni bu}, {du'u bu}",,,,,
不明,ka'o'ei,非標準,,"imaginary i, comma - spherical coordinates: first coordinate gives magnitude (complex modulus/radius) of the number, the second number gives the angle from the positive real axis measured counterclockwise (default: in the primary branch/Arg) as measured in some units (which that number should contain; the contextless default will suppose radians); the angle is not normalized",,"imaginary i, comma - spherical coordinates: first coordinate gives magnitude (complex modulus/radius) of the number, the second number gives the angle from the positive real axis measured counterclockwise (default: in the primary branch/Arg) as measured in some units (which that number should contain; the contextless default will suppose radians); the angle is not normalized",,,"The number (r, x) = r*e^(i x). The angle x is (by default) measured in radians and is not normalized (contains no hidden/inherent multiples of pi). See also: {te'o}, {ka'o}.",,,,,
不明,la su'oda,複合cmavo,,"name: ""Someone"", aka ""the god of lazy people"", used when the speaker is pushing responsibility to someone else unspecified",,"name: ""Someone"", aka ""the god of lazy people"", used when the speaker is pushing responsibility to someone else unspecified",,,Synonymous to la .{samyuan}. Also {la dzapre}.,,,,,
不明,lu li'u,複合cmavo,,empty (grammatical) string/text/utterance,,empty (grammatical) string/text/utterance,,,"Not: empty word, empty symbol. See also: {zoi'ai'e}.",,,,,
不明,medomoi,複合cmavo,,x_1 is yours among x_2 by rule/relationship x_3; x_1 is your x_2 by rule/relationship x_3.,,x_1 is yours among x_2 by rule/relationship x_3; x_1 is your x_2 by rule/relationship x_3.,,,,,,,,
